Point,Sample.ID.Lab,Horizon,Observational.Method,Potential.Series..in.progress.,To.Depth..cm.,H.Depth.cm.,Boundary..Bnd.,Matrix.Color,lab_clay,lab_sand,lab_silt,lab_texture_class,LPSA_texture_status,Field.Texture,Field.Clay..,Structure,Consistence,Notes,Date.Sampled,Depth.to.water.table..if.known.,Taxonomy,Disturbance.,Column1,series_raw,series_clean,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxmineralogy,taxactivity,taxtemp
P1,230045,Ap,Auger,fill,0-30,30,,10YR4/2,6.965,83.2,9.835,LS,ALL_CLASS_AGREE,LS,,,,POSSIBLE FILL,5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1,230046,,Auger,fill,30-70,40,,7.5YR4/6,59.75,33.6,6.65,C,ALL_CLASS_AGREE,SCL,,,,"Kaolin common, concentrations",5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1,230047,,Auger,fill,70-88,18,,10YR3/2,28.85,62.15,9,SCL,ALL_CLASS_AGREE,SL,18,,,Kaolin few concentrations,5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1,230048,,Auger,fill,88-129,41,,10YR4/6,50.75,41.7,7.55,C,ALL_CLASS_AGREE,SC,45,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1,230049,,Auger,fill,129-145,16,,2.5Y3/2,8.52,82.9,8.58,LS,ALL_CLASS_AGREE,LS,8,,,Charcoal present,5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1,230050,,Auger,fill,145-168+,23,,10YR5/4,54.85,37.8,7.35,C,ALL_CLASS_AGREE,SCL,,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2,230051,Ap,Auger,Orangeburg,0-22,22,,10YR4/3,4.825,87.05,8.125,LS,ALL_CLASS_AGREE,LS,,1MGr,,,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P2,230052,BA,Auger,Orangeburg,22-39,17,,10YR4/6,17.05,69.95,13,SL,ALL_CLASS_AGREE,SL,17,1MSBK,,,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P2,230053,Bt3,Auger,Orangeburg,162-191+,29,,10YR6/8,22.6,64.75,12.65,SCL,ALL_CLASS_AGREE,SL,15,2MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P2,230054,Bt1,Auger,Orangeburg,39-96,57,,7.5YR5/8,29.85,62.1,8.05,SCL,ALL_CLASS_AGREE,SL,18,2MSBK,,Few organic stains,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P2,230055,Bt2,Auger,Orangeburg,96-162,66,,5YR5/8,23.35,69.2,7.45,SCL,ALL_CLASS_AGREE,SCL,22,2MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P3,230056,Ap,Auger,Greenville,0-28,28,,10YR4/3,5.395,85.8,8.805,LS,ALL_CLASS_AGREE,LS,,1MGr,,,5/15/2023,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
P3,230057,Bt4,Auger,Greenville,170-188+,18,,2.5YR4/6,45.2,43.9,10.9,C,ALL_CLASS_AGREE,CL,28,1MSBK,,clay films,5/15/2023,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
P3,230058,Bt2,Auger,Greenville,52-100,48,,2.5YR4/6,64.3,29.05,6.65,C,ALL_CLASS_AGREE,CL,32,2MSBK,,clay films,5/15/2023,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
P3,230059,Bt1,Auger,Greenville,28-52,24,,2.5YR3/6,66.25,28.5,5.25,C,ALL_CLASS_AGREE,L,,1MSBK,,few organic stains. clay films,5/15/2023,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
P3,230060,Bt3,Auger,Greenville,100-170,70,,2.5YR4/6,67.7,28,4.3,C,ALL_CLASS_AGREE,CL,35,2MSBK,,clay films,5/15/2023,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
P4,230061,BA,Auger,Orangeburg,32-61,29,,5YR5/8,6.445,84.45,9.105,LS,CLASS_OK,SL,15,2MSBK,,,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P4,230062,Bt1,Auger,Orangeburg,61-98,37,,2.5YR4/8,40.9,48.2,10.9,SC,CLASS_OK,SL,16,2MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P4,230063,Bt3,Auger,Orangeburg,135-159,24,,5YR5/8,33.15,57.15,9.7,SCL,ALL_CLASS_AGREE,SL,14,1MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P4,230064,Bt4,Auger,Orangeburg,159-188,29,,7.5YR5/8,40.15,53,6.85,SC,ALL_CLASS_AGREE,SL,10,1MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P4,230065,Bt2,Auger,Orangeburg,98-135,37,,5YR4/8,31.9,61.7,6.4,SCL,ALL_CLASS_AGREE,SCL,21,2MSBK,,clay films,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
P4,230066,Ap,Auger,Orangeburg,0-32,32,,10YR4/4,31.3,62.15,6.55,SCL,ALL_CLASS_AGREE,LS,,1MGr,,,5/15/2023,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
29,240311,Ap1,Auger,Greenville,0-20,20,,5YR 4/4,5.5,86.2,8.3,LS,ALL_CLASS_AGREE,,,1MGr,,,5/2/2024,,Typic Kanhapludult?,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
29,240312,Ap2,Auger,Greenville,20-34,14,,5YR 4/4,15.7,74.2,10.1,SL,ALL_CLASS_AGREE,,,1FSBK,,,5/2/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
29,240313,Bt1,Auger,Greenville,34-69,35,,5YR4/6,23.75,65.3,10.95,SCL,ALL_CLASS_AGREE,,,1MSBK,,Charcoal,5/2/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
