"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543133,"40A33470",1,0,13,"Ap","Silt loam",270361,28.2999992,50.2000008,21.5,NA,"10YR",4,2
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543134,"40A33471",2,13,25,"B","Clay loam",270362,20.3999996,45.9000015,33.7000008,NA,"10YR",6,6
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543135,"40A33472",3,25,56,"Bt1","Clay",270363,12.3000002,32.7999992,54.9000015,NA,"10YR",5,8
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543136,"40A33473",4,56,102,"Bt2","Clay",270364,9.8999996,30.2000008,59.9000015,NA,"10YR",5,8
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543137,"40A33474",5,102,140,"Bt3","Clay",270365,8,32.9000015,59.0999985,NA,"5YR",4,6
110638,"Persanti","PERSANTI","Fine, kaolinitic, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine",-80.3975753999999,33.5293083,543138,"40A33475",6,140,190,"Bt4","Clay",270366,8.1000004,33.2999992,58.5999985,NA,"10YR",7,1
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528508,"40A38814",1,0,18,"Ap","Sandy loam",43363,78.3000031,7.9000001,13.8000002,NA,"5YR",3,3
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528509,"40A38815",2,18,30,"Bt1","Sandy clay loam",43364,63,8.8000002,28.2000008,NA,"2.5YR",3,6
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528510,"40A38816",3,30,53,"Bt2","Sandy clay loam",43365,63,9.3999996,27.6000004,NA,"10R",3,6
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528511,"40A38817",4,53,81,"Bt3","Sandy clay loam",43366,63,8.6000004,28.3999996,NA,"10R",3,6
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528512,"40A38818",5,81,102,"Bt4","Sandy clay loam",43367,64,7.9000001,28.1000004,NA,"10R",3,6
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528513,"40A38819",6,102,147,"Bt5","Sandy clay loam",43368,64.6999969,6.5,28.7999992,NA,"10R",3,6
100933,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9846267999999,32.3315659,528514,"40A38820",7,147,163,"Bt6","Sandy clay loam",43369,65.1999969,6,28.7999992,NA,"10R",3,6
100934,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9915695,32.2765656,528503,"40A38821",1,0,25,"Ap","Loamy sand",43370,80.5,10.3999996,9.1000004,NA,"7.5YR",3,2
100934,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9915695,32.2765656,528504,"40A38822",2,25,41,"Bt1","Sandy clay loam",43371,70.3000031,8.6999998,21,NA,"2.5YR",3,6
100934,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9915695,32.2765656,528505,"40A38823",3,41,79,"Bt2","Sandy clay loam",43372,65,9.1999998,25.7999992,NA,"2.5YR",3,6
100934,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9915695,32.2765656,528506,"40A38824",4,79,114,"Bt3","Sandy clay loam",43373,66.0999985,6.9000001,27,NA,"2.5YR",3,6
100934,"Red Bay","RED BAY","Fine-loamy, siliceous, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","fine-loamy",-83.9915695,32.2765656,528507,"40A38825",5,114,163,"Bt4","Sandy clay loam",43374,63.5,9.8999996,26.6000004,NA,"2.5YR",3,6
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528497,"40A38557",1,0,15,"Ap","Loamy sand",37406,83.5,5.3000002,11.1999998,NA,"5YR",3,4
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528498,"40A38558",2,15,33,"B1","Loamy sand",37407,83,5.0999999,11.8999996,NA,"2.5YR",3,4
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528499,"40A38559",3,33,63,"B21","Fine sandy loam",37408,81.9000015,5.8000002,12.3000002,NA,"2.5YR",3,6
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528500,"40A38560",4,63,89,"B22","Loamy sand",37409,82.5999985,5.0999999,12.3000002,NA,"2.5YR",3,6
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528501,"40A38561",5,89,124,"B23","Fine sandy loam",37410,82.1999969,5.0999999,12.6999998,NA,"2.5YR",3,6
100935,"Americus","AMERICUS","Sandy, siliceous Typic Dystrochrepts","Inceptisols","Ochrepts","Dystrochrepts","Typic Dystrochrepts","sandy",-84.0135193,32.3274002000001,528502,"40A38562",6,124,178,"B24","Fine sandy loam",37411,82.3000031,4.5999999,13.1000004,NA,"2.5YR",3,6
100938,"Greenville","GREENVILLE","Clayey, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","clayey",-83.8760147,32.5540581000001,528483,"40A38688",1,0,18,"Ap","Fine sandy loam",40237,70.6999969,16.1000004,13.1999998,NA,"5YR",3,3
100938,"Greenville","GREENVILLE","Clayey, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","clayey",-83.8760147,32.5540581000001,528484,"40A38689",2,18,28,"Bt1","Sandy clay",40238,50,15,35,NA,"2.5YR",3,4
100938,"Greenville","GREENVILLE","Clayey, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","clayey",-83.8760147,32.5540581000001,528485,"40A38690",3,28,53,"Bt2","Sandy clay",40239,49,13.6000004,37.4000015,NA,"2.5YR",3,6
100938,"Greenville","GREENVILLE","Clayey, kaolinitic, thermic Rhodic Kandiudults","Ultisols","Udults","Kandiudults","Rhodic Kandiudults","clayey",-83.8760147,32.5540581000001,528486,"40A38691",4,53,84,"Bt3","Sandy clay",40240,49,12,39,NA,"2.5YR",3,6
