"peiidref","seqnum","hzdept.x","hzdepb.x","hzthk_r","hzthk_h","obsmethod","hzname.x","hzname_s","desgndisc","desgnmaster","desgnmasterprime","desgnvert","texture","texture_s","stratextsflag.x","claytotest","silttotest","sandtotest","fragvoltot","horcolorvflag","obssoimoiststat","rupresblkmst","rupresblkdry","rupresblkcem","rupresplate","mannerfailure","stickiness","plasticity","toughclass","penetrres","penetorient","horzpermclass","phfield","phdetermeth","effclass","efflocation","effagent","carbdevstagefe","carbdevstagecf","mneffclass","mneffagent","reactadipyridyl","dipyridylloc","excavdifcl","soilodor","soilodorintensity","rmonosulfidep","bounddistinct","boundtopo","dspcomplayerid","aashtocl","unifiedcl","recwlupdated.x","recuseriidref.x","phiid","labsampnum.x","peiidref.y","ncsslayerlabdataiid","layerdepthtop","layerdepthbottom","ncsspedonlabdataiidref","layerseqnum","labsampnum.y","hzdept.y","hzdepb.y","layertype","hzname.y","hznameoriginal","stratextsflag.y","moistprepstate","texcl","sandvcmeasured","sandcomeasured","sandmedmeasured","sandfinemeasured","sandvfmeasured","sandtotmeasured","siltcomeasured","siltfinemeasured","silttotmeasured","claycarbmeasured","clayfinemeasured","claytotmeasured","carbonorganicpctmeasured","carbontotalpctmeasured","ompctest","fiberrubbedpct","fiberunrubbedpct","fragwt25","fragwt520","fragwt2075","fragwt275","wtpct0175","wtpctgt2ws","ph1to1h2o","ph01mcacl2","phnaf","resistivity","ecmeasured","esp","sar","cecsumcations","cec7","ecec","sumbases","basesatsumcations","basesatnh4oac","caco3equivmeasured","gypsumequivlt2measured","feoxalatemeasured","feextractable","fetotal","sioxalatemeasured","extracid","extral","aloxalatemeasured","altotal","pmehlich3","poxalatemeasured","polsenmeasured","ptotalmeasured","nzpretention","dbthirdbar","dbovendry","aggstabpct","wtenthbarclod","wtenthbarsieve","wthirdbarclod","wthirdbarsieve","wfifteenbarmeasured","wretentiondiffws","wfifteenbartoclay","adod","lep","cole","liquidlimitmeasured","pi","recwlupdated.y","recuseriidref.y","upedonid","taxonname.x","taxclname.x","labsourceid","pedlabsampnum","pedonhydricrating","grpiidref","classtype","classdate","taxonname.y","taxclname.y","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition"
103462,8,225,265,NA,NA,"","C",NA,NA,"","",NA,"SL SL",NA,0,NA,NA,NA,0,0,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"","","","","","4/24/2016 14:17:52",1237,531439,"40A01768",103462,147574,220,265,32766,12,"40A01768",220,265,"Horizon","C","C","NO","Air-dry","Coarse sandy loam",6.4000001,18.8999996,15,19.3999996,12.6000004,72.3000031,9.3000002,8.1000004,17.3999996,NA,7.5999999,10.3000002,0.02,NA,NA,NA,NA,1,0,0,1,60,1,4.5,NA,NA,NA,NA,NA,NA,1.7,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,1.7,1.4,NA,NA,NA,NA,NA,NA,NA,1.8099999,1.84,NA,NA,NA,11.1000004,NA,4.1999998,0.12,0.41,NA,NA,0,NA,NA,"10/25/2018 20:02:13",NA,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,2,10,23,NA,NA,"","A2",NA,NA,"","",NA,"SL",NA,0,NA,NA,NA,0,0,"","Friable","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Clear","","","","","4/24/2016 14:17:52",1237,531433,"40A01758",103462,147564,10,23,32766,2,"40A01758",10,23,"Horizon","E","A2","NO","Air-dry","Fine sandy loam",4.4000001,13.8999996,10.5,15.6999998,11.6999998,56.2000008,10.6000004,16.8999996,27.5,NA,8.1999998,16.2999992,0.51,NA,NA,NA,NA,1,0,0,1,45,1,4.1999998,NA,NA,NA,NA,NA,NA,6.9000001,NA,3.3,0.2,3,NA,NA,NA,NA,0.1,NA,NA,6.6999998,3.0999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9000001,NA,0.42,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",NA,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,3,23,41,NA,NA,"","B21TG",NA,NA,"","",NA,"SL",NA,0,NA,NA,NA,0,0,"","Friable","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Clear","Irregular","","","","4/24/2016 14:17:52",1237,531434,"40A01759",103462,147565,23,41,32766,3,"40A01759",23,41,"Horizon","Btg1","B21tg","NO","Air-dry","Sandy loam",5,14.8000002,10.5,13.1000004,9.6999998,53.0999985,10.5,18.2000008,28.7000008,NA,NA,18.2000008,0.15,NA,NA,NA,NA,1,1,0,2,43,2,4.3000002,NA,NA,NA,NA,NA,NA,5.1999998,NA,3.5999999,0.1,2,NA,NA,NA,NA,0.2,NA,NA,5.0999999,3.5,NA,NA,NA,NA,NA,NA,NA,1.79,1.82,NA,NA,NA,12,NA,6.4000001,0.1,0.35,NA,NA,0,NA,NA,"10/25/2018 20:02:13",1237,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,5,74,120,NA,NA,"","B23TG",NA,NA,"","",NA,"SCL",NA,0,NA,NA,NA,0,0,"","Firm","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Gradual","Smooth","","","","4/24/2016 14:17:52",1237,531436,"40A01761",103462,147567,74,120,32766,5,"40A01761",74,120,"Horizon","Btg3","B23tg","NO","Air-dry","Sandy clay loam",4,14.3999996,10.1000004,11.8000002,7.4000001,47.7000008,7.9000001,14.6999998,22.6000004,NA,19.2000008,29.7000008,0.13,NA,NA,NA,NA,1,0,0,1,40,1,4.4000001,NA,NA,NA,NA,NA,NA,7.5999999,NA,4.9000001,0.4,5,NA,NA,NA,NA,1.6,NA,NA,7.1999998,4.5,NA,NA,NA,NA,NA,NA,NA,1.71,1.8,NA,NA,NA,16.2999992,NA,11.1000004,0.09,0.37,NA,NA,0.02,NA,NA,"10/25/2018 20:02:13",1237,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,1,0,10,NA,NA,"","A1",NA,NA,"","",NA,"SL",NA,0,NA,NA,NA,0,0,"","Friable","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Abrupt","Smooth","","","","4/24/2016 14:17:52",1237,531432,"40A01757",103462,147563,0,10,32766,1,"40A01757",0,10,"Horizon","A","A1","NO","Air-dry","Sandy loam",3.8,15,12.1000004,19.6000004,11.8000002,62.2999992,11.1000004,18.2000008,29.2999992,NA,NA,8.3999996,3.9100001,NA,NA,NA,NA,1,0,0,1,51,1,4,NA,NA,NA,NA,NA,NA,24,NA,6.5999999,3.4,14,NA,NA,NA,NA,0.2,NA,NA,20.6000004,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3999996,NA,1.12,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",NA,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,6,126,160,NA,NA,"","B24TG",NA,NA,"","",NA,"SCL SCL",NA,0,NA,NA,NA,0,0,"","Firm","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Clear","Wavy","","","","4/24/2016 14:17:52",1237,531437,"40A01764",103462,147570,120,160,32766,8,"40A01764",120,160,"Horizon","Btg4","B24tg","NO","Air-dry","Sandy clay loam",4.8000002,17.3999996,11.8000002,12.6000004,7.1999998,53.7999992,7.3000002,12.6999998,20,NA,19.2999992,26.2000008,0.11,NA,NA,NA,NA,0,0,0,0,47,0,4.3000002,NA,NA,NA,NA,NA,NA,6.5,NA,4.5,0.1,2,NA,NA,NA,NA,0.5,NA,NA,6.4000001,4.4000001,NA,NA,NA,NA,NA,NA,NA,1.76,1.84,NA,NA,NA,15,NA,10.3000002,0.08,0.39,NA,NA,0.01,NA,NA,"10/25/2018 20:02:13",1237,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,4,41,74,NA,NA,"","B22TG",NA,NA,"","",NA,"L",NA,0,NA,NA,NA,0,0,"","Firm","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Clear","Wavy","","","","4/24/2016 14:17:52",1237,531435,"40A01760",103462,147566,41,74,32766,4,"40A01760",41,74,"Horizon","Btg2","B22tg","NO","Air-dry","Loam",4.8000002,13.6000004,9.1000004,11,8.8000002,47.2999992,10,19.2000008,29.2000008,NA,NA,23.5,0.13,NA,NA,NA,NA,1,0,0,1,39,1,4.4000001,NA,NA,NA,NA,NA,NA,6.5,NA,4.3000002,0.3,5,NA,NA,NA,NA,1.2,NA,NA,6.1999998,4,NA,NA,NA,NA,NA,NA,NA,1.78,1.82,NA,NA,NA,13.6999998,NA,8.8000002,0.09,0.37,NA,NA,0.01,NA,NA,"10/25/2018 20:02:13",1237,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
103462,7,160,225,NA,NA,"","B3G",NA,NA,"","",NA,"SCL",NA,0,NA,NA,NA,0,0,"","Firm","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"Clear","Wavy","","","","4/24/2016 14:17:52",1237,531438,"40A01765",103462,147571,160,225,32766,9,"40A01765",160,225,"Horizon","Bg","B3g","NO","Air-dry","Sandy clay loam",5,18.2999992,13.3000002,13.1999998,10,59.7999992,7.3000002,10.3999996,17.7000008,NA,NA,22.5,0.06,NA,NA,NA,NA,1,0,0,1,50,1,4.6999998,NA,NA,NA,NA,NA,NA,4.6999998,NA,3.3,0.2,4,NA,NA,NA,NA,0.9,NA,NA,4.5,3.0999999,NA,NA,NA,NA,NA,NA,NA,1.77,1.82,NA,NA,NA,14.8999996,NA,9,0.1,0.4,NA,NA,0.01,NA,NA,"10/25/2018 20:02:13",1237,"S1965NC101002","Snd","","SSL","40A0237","No",26641,"Sampled as","10/20/1965 0:00:00","Snd",NA,NA,NA,NA,NA,NA,"","","","",""
955663,1,0,10,NA,NA,"","A1",NA,NA,"","",NA,"",NA,0,NA,NA,NA,NA,0,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"","","","","","1/16/2014 23:56:01",1237,4798147,"40A31761",NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77GA319002","SND","Not Classified","LIMS","40A4161","No",23263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955663,2,10,20,NA,NA,"","A2",NA,NA,"","",NA,"",NA,0,NA,NA,NA,NA,0,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","",0,"","","","","","1/16/2014 23:56:01",1237,4798148,"40A31762",NA,NA,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77GA319002","SND","Not Classified","LIMS","40A4161","No",23263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
